童年 ; Childhood
把 ; guard
把 ; hold
把 ; watch
把 ; handle
美元 ; us dollars
人民币 ; renminbi
换 ; change
换 ; exchange
成 ; become
成 ; turn into 
成 ; accomplish
成 ; complete
成 ; win
成 ; capable
换成 ; replace
饭 ; rice
饭 ; meal
饭 ; food
饭 ; cuisine
做 ; do
做 ; make
做 ; act 
做 ; be
做 ; become
做 ; compose
做 ; form a relationship
做 ; make out
做 ; manufacture
做 ; perpetrate
做 ; prepare
做 ; produce
做 ; be used as 
好 ; good
了 ; past tense marker
快 ; fast
快 ; plainspoken
快 ; happy
快 ; pleased
快 ; straightforward
快 ; sharp
来 ; come
来 ; arrive
来 ; crop up
来 ; nigh
来 ; occur
来 ; take place
来 ; coming
来 ; incoming
吃 ; eat
这么 ; so
这么 ; like this
这么 ; this way
这么 ; such
多 ; many
多 ; more
多 ; much
多 ; excessive
多 ; numerous
菜 ; dish
菜 ; vegetable
看 ; look
看 ; see
看 ; watch
看 ; view
看 ; consider
看 ; guard
看 ; judge
看 ; care
看 ; sight
看 ; read
看 ; mind
着 ; the
着 ; touch
着 ; touching
着 ; ignited
着眼; focus
眼; eye
眼 ; key point
眼 ; look
眼 ; small hole
眼 ; trap
都 ; all
都 ; both
都 ; entirely
都 ; big city
都 ; capital
都 ; metropolis
馋 ; greedy
今 ; now
今 ; immediately
今 ; at the present time
今 ; this
天 ; day
天 ; heavens
天 ; nature
天 ; season
天 ; sky
天 ; weather
天 ; god
天 ; overhead
几 ; several
几 ; a few
几 ; some
几 ; almost
几 ; nearly
几 ; practically
几 ; how many
几 ; how much
号 ; number
号; horn
号 ; howl
号 ; mark
号 ; name
号 ; roar
号 ; wail
号 ; day of a month
号 ; numeric
号 ; coax
号 ; cry
我 ; I
还要 ; also
还 ; still
还 ; also 
还 ; yet
还 ; in addition
还 ; else
还 ; more
还 ; not yet
还 ; pay back
还 ; return
还 ; anymore
要 ; want
要 ; desire 
要; must
要 ; ask
要 ; demand
要; coerce
要 ; force 
要; request
要 ; ask to do
要 ; wish
要 ; if
要 ; important
要; vital
赶回来 ; come back
赶; rush
赶; drive
赶; hurry
赶 ; catch up
赶 ; drive away
赶; happen
赶; hurry through
赶; overtake
赶; driving
回 ; time
回 ; counter for occurrences
来 ; come
来 ; arrive
来 ; crop up
来 ; nigh
来 ; occur
来 ; take place
来 ; coming
来 ; incoming
您 ; you
能不能; can 
能; can
能 ; may
能 ; able
能 ; capable
能 ; energy
能 ; ability
能 ; capability
不; not
不; no
等 ; wait
等 ; await
等 ; class
等 ; grade
等 ; kind
等; sort
等 ; rank
等; till
等; when
一会儿; awhile
一会儿; in a moment
一会儿; presently
一会儿; wee
很 ; very
很 ; quite
很 ; extremely
很 ; bitterly
很 ; passing
很 ; mighty
很 ; parlous
很 ; spanking
很 ; strong
很 ; strongly
多 ; many
多 ; much
多 ; excessive
多 ; numerous
多 ; odd
人 ; people
人 ; person
人 ; man
人 ; human being
人 ; adult
人 ; character
人 ; folk
人 ; hand
人 ; personality
人 ; manpower
表示 ; representation
表示 ; represent
表示 ; denote
表示 ; evince
表示 ; express
表示 ; externalize
表示 ; indicate
表示 ; mean
表示 ; say
即使 ; even if
即使 ; even though
少 ; less
少 ; little
少 ; few
少 ; small
少 ; young
少 ; lack
少 ; lose
少 ; be missing
少 ; be short
挣 ; earn
挣 ; struggle
挣 ; make money
几 ; a few
几 ; some
几 ; several
几 ; almost
几 ; nearly
几 ; practically
几 ; how many
几 ; how much
千 ; thousand
千 ; kilo 
千 ; swing
元 ; yuan
元 ; dollar
元 ; basic
元 ; primary
也 ; also
也 ; too
要 ; want
要 ; desire
要 ; must
要 ; ask
要 ; demand
要 ; coerce
要 ; request
要 ; wish
要 ; important
要 ; vital
要 ; if
回 ; return
回 ; answer
回 ; circle
回 ; curve
回 ; maneuvering 
回 ; turn around
家 ; home
家 ; family
家 ; household
家 ; school
家 ; specialist
家 ; domesticated
过年 ; New Year
我 ; I
我 ; me
我 ; myself
虽 ; although
虽 ; though
虽 ; even if
虽 ; despite
虽 ; let
虽 ; nevertheless
虽 ; notwithstanding
不 ; not
不 ; no
能够 ; can
能够 ; able
能够 ; be able to
对 ; to
对 ; at
对 ; pair
对 ; correct answer
对 ; answer
对 ; reply
对 ; face
对 ; front
对 ; opposite
对 ; yes
对 ; orderly
对 ; right
一些 ; some
一些 ; a few
一些 ; a little
事情 ; thing
事情 ; matter
事情 ; affair
事情 ; business
都 ; all
都 ; both
都 ; metropolis
都 ; entirely
了解 ; understand
了解 ; comprehend
了解 ; grasp
了解 ; find out
但 ; but
但 ; however
但 ; yet
但 ; merely
但 ; only
觉得 ; feel
觉得 ; sense
觉得 ; seem
觉得 ; sensate
觉得 ; strike
感动 ; moving
感动 ; affect
感动 ; touch
感动 ; move
感动 ; inspire
感动 ; sensation
感动 ; throb
新 ; new
新 ; fresh
新 ; newly
新 ; freshly
的 ; of
的 ; aim
的 ; really
一 ; a 
一 ; one
一 ; single
年 ; year
年 ; age
年 ; harvest
于 ; in
于 ; to 
于 ; on 
于 ; at 
于 ; for
于 ; of
于 ; when
而 ; and
而 ; while
而 ; but
而 ; as well as 
而 ; yet
言 ; say
言 ; speak
言 ; talk
言 ; word
言 ; character
言 ; speech
将 ; will
将 ; would
将 ; get
将 ; prod
将 ; use
将 ; by
将 ; with
将 ; check
将 ; general
将 ; shall
将 ; prepared
是 ; be
是 ; exist
是 ; correct
是 ; right
特别 ; especially
特别 ; specially
特别 ; specifically
特别 ; particular
特别 ; special
特别 ; unusual
重要 ; important
重要 ; significant
重要 ; major 
重要 ; central
重要 ; considerable
重要 ; emphasis
前 ; before
前 ; in front
前 ; ago
前 ; earlier on
前 ; forward
前 ; former
前 ; previous
前 ; preceding
前 ; proceed
前 ; ere
日 ; day
日 ; date
日 ; Japan
日 ; sun
和 ; and
和 ; tie
和 ; peace
和 ; sum
和 ; together
和 ; kind
和 ; harmonious
位 ; position
位 ; place
位 ; seat
位 ; figure
位 ; throne
朋友 ; friend
朋友 ; boyfriend
朋友 ; companion
朋友 ; fellow
朋友 ; pal
聊天 ; chat
谈 ; talk
谈 ; chat
谈 ; speak
谈 ; converse
谈 ; discuss
起 ; begin
起 ; start
起 ; build
起 ; extract
起 ; pull
起 ; rise
起 ; grow
谁 ; who
谁 ; anybody
谁 ; everybody
谁 ; somebody
谁 ; whoever
谁 ; any
谁 ; every
过 ; cross
过 ; live
过 ; pass
过 ; tick
得 ; get
得 ; have
得 ; obtain
得 ; allow
得 ; must
得 ; need
得 ; finished
得 ; proper
得 ; proud
得 ; ready
得 ; suitable
幸福 ; happiness
幸福 ; blessed
幸福 ; happy
建议 ; proposal
建议 ; recommendation
建议 ; suggestion
建议 ; recommend
建议 ; suggest
建议 ; propose
每 ; each
每 ; per
周 ; week
周 ; circumference
周 ; periphery
周 ; cycle
周 ; circuit
周 ; all
周 ; whole
定期 ; regular
定期 ; periodical
清洗 ; clean
清洗 ; wash
清洗 ; rinse
清洗 ; erase
清洗 ; purge
清洗 ; purification
后 ; after
后 ; afterwards
后 ; later
后 ; hinder
后 ; back
后 ; queen
后 ; rear
后 ; offspring
可 ; can
可 ; may
可 ; be able to 
可 ; approve
可 ; but
可 ; yet
可 ; certainly
考虑 ; consider
考虑 ; premeditate
考虑 ; think
考虑 ; consideration
更换 ; replace
更换 ; change
決策者 ; makers
高管 ; executives
來说 ; speaking
人民 ; commonwealth
人民 ; people
幣 ; currency
幣 ; money
越 ; more
越 ; climb
越 ; exceed
越 ; surpass
令 ; make
令 ; cause
令 ; order
令 ; decree
令 ; command
令 ; season
令 ; your
不加 ; without
总是 ; always
不透 ; impervious
做好 ; good
快来 ; come
吃吧 ; eat
今天 ; today
今天 ; now
今天 ; at the present day
今天 ; specifically
几号 ; what day of month
几号 ; a few numbers
回来 ; come back
回来 ; return
等一会儿 ; wait a minute
很多 ; a lot of
几千 ; several thousand
回家 ; come back home
而言 ; terms
几日 ; a few days
谈起 ; talk
谈起 ; intimate
谈起 ; notice
我们 ; we
我们 ; us
我们 ; ourselves
中午 ; noon
中午 ; midday 
中午 ; noonday
去 ; go
去 ; leave
去 ; remove 
那 ; that
那 ; those
那 ; how 
餐馆 ; restaurant 
点 ; point
点 ; spot
点 ; dot
点 ; aspect 
点 ; drip 
点 ; drop 
点 ; feature
点 ; place
点 ; speck 
点 ; appointed time
点 ; burn 
点 ; hint
点 ; kindle 
点 ; light 
点 ; select
点 ; skim
点 ; sow in holes
点 ; touch on very briefly 
东西 ; thing
东西 ; stuff
东西 ; east and west 
吧 ; okay
